Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,142381,0.002250,145104,0.002827,144501,0.005105,144816,0.004648,146541,0.003453,146457,0.004637,146579,0.003550,146672,0.004159,142363,0.004277,149056,0.003546,145447,0.003900,142363,149056
--first,--transpose,--srz,128808,0.007520,128808,0.008909,128808,0.006704,128808,0.007485,128808,0.007360,128808,0.007846,128808,0.006740,128808,0.008885,128808,0.006870,128808,0.007984,128808,0.007700,128808,128808
--first,--exchange,--random-init,127991,0.247342,128131,0.258438,133085,0.216953,129603,0.116800,128821,0.291891,127190,0.204490,130463,0.233675,127573,0.290176,128812,0.276918,130583,0.203809,129225,0.234000,127190,133085
--first,--exchange,--srz,127934,0.031952,127934,0.029814,127934,0.033615,127934,0.030108,127934,0.031750,127934,0.029206,127934,0.030862,127934,0.029331,127934,0.029203,127934,0.028891,127934,0.030500,127934,127934
--first,--insert,--random-init,135149,0.029620,132780,0.117980,135367,0.109374,140127,0.070279,136578,0.041529,144168,0.027939,147682,0.035114,133589,0.088043,145815,0.047727,134409,0.119915,138566,0.068800,132780,147682
--first,--insert,--srz,128990,0.021076,128990,0.019175,128990,0.019762,128990,0.018563,128990,0.018584,128990,0.019379,128990,0.019745,128990,0.019221,128990,0.019776,128990,0.023362,128990,0.019900,128990,128990
--best,--transpose,--random-init,147912,0.015501,145530,0.019330,143067,0.005810,146226,0.011211,141012,0.008310,141358,0.009784,141776,0.010409,143263,0.012054,147788,0.009301,146451,0.009446,144438,0.011000,141012,147912
--best,--transpose,--srz,128808,0.008145,128808,0.006850,128808,0.007781,128808,0.007216,128808,0.008239,128808,0.009787,128808,0.007364,128808,0.007435,128808,0.007049,128808,0.012530,128808,0.008200,128808,128808
--best,--exchange,--random-init,147532,0.039645,142423,0.022054,145698,0.032910,141626,0.041590,140238,0.027048,147177,0.018219,139420,0.051511,139982,0.032726,144866,0.026613,148225,0.026154,143718,0.032000,139420,148225
--best,--exchange,--srz,128872,0.019927,128872,0.019893,128872,0.021664,128872,0.019778,128872,0.018897,128872,0.019227,128872,0.020017,128872,0.018850,128872,0.019168,128872,0.018020,128872,0.019600,128872,128872
--best,--insert,--random-init,147585,0.063845,155606,0.036650,153158,0.037942,157837,0.040964,153771,0.025812,150461,0.035930,148857,0.063927,151541,0.049579,144663,0.125211,149627,0.116008,151310,0.059700,144663,157837
--best,--insert,--srz,128990,0.037297,128990,0.042002,128990,0.037687,128990,0.034178,128990,0.034237,128990,0.035253,128990,0.033021,128990,0.036396,128990,0.032247,128990,0.034744,128990,0.035600,128990,128990
