Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,142198,0.001652,139851,0.003285,147891,0.005947,142905,0.006299,138148,0.008318,143817,0.005491,143790,0.004765,138785,0.004768,139345,0.006556,140635,0.004935,141736,0.005200,138148,147891
--first,--transpose,--srz,124897,0.007695,124897,0.005802,124897,0.005742,124897,0.006062,124897,0.006472,124897,0.006473,124897,0.007064,124897,0.006579,124897,0.005732,124897,0.005871,124897,0.006400,124897,124897
--first,--exchange,--random-init,126483,0.205589,127921,0.213296,124464,0.288856,126518,0.231065,124585,0.246170,125800,0.338113,125448,0.199144,125917,0.304910,125305,0.212841,125328,0.222188,125776,0.246200,124464,127921
--first,--exchange,--srz,123765,0.034033,123765,0.033334,123765,0.033642,123765,0.030148,123765,0.029577,123765,0.060200,123765,0.036812,123765,0.030823,123765,0.030210,123765,0.028918,123765,0.034800,123765,123765
--first,--insert,--random-init,137889,0.021202,132592,0.122577,140735,0.031093,136844,0.072215,141834,0.022284,135911,0.063736,139247,0.036357,139317,0.024795,139137,0.036150,134524,0.030113,137803,0.046000,132592,141834
--first,--insert,--srz,125010,0.018391,125010,0.018655,125010,0.018816,125010,0.017061,125010,0.017150,125010,0.017426,125010,0.016975,125010,0.016521,125010,0.017672,125010,0.016199,125010,0.017500,125010,125010
--best,--transpose,--random-init,147435,0.007781,143348,0.008202,140624,0.007655,147441,0.007964,142970,0.013173,146708,0.007647,140762,0.010654,148660,0.009055,147968,0.013107,139054,0.008898,144497,0.009500,139054,148660
--best,--transpose,--srz,124902,0.006213,124902,0.006252,124902,0.006325,124902,0.006370,124902,0.006562,124902,0.006677,124902,0.008199,124902,0.006633,124902,0.005889,124902,0.007969,124902,0.006700,124902,124902
--best,--exchange,--random-init,136610,0.048310,137678,0.041241,141909,0.023839,145346,0.037572,140308,0.062390,138337,0.022386,135136,0.043478,134486,0.062978,135107,0.048219,140110,0.028291,138502,0.041700,134486,145346
--best,--exchange,--srz,124717,0.017504,124717,0.018436,124717,0.017949,124717,0.017181,124717,0.018384,124717,0.015597,124717,0.018208,124717,0.017214,124717,0.016914,124717,0.017605,124717,0.017500,124717,124717
--best,--insert,--random-init,144205,0.082730,144271,0.071620,141940,0.123798,149527,0.092718,145326,0.033006,152138,0.033471,149798,0.084302,147843,0.114018,143263,0.023942,146871,0.034811,146518,0.069500,141940,152138
--best,--insert,--srz,125010,0.018084,125010,0.017751,125010,0.018630,125010,0.018446,125010,0.019762,125010,0.017859,125010,0.019483,125010,0.018159,125010,0.021502,125010,0.021033,125010,0.019100,125010,125010
