Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,143710,0.005438,142501,0.003732,144639,0.003609,142122,0.005989,144309,0.004430,141527,0.005832,144096,0.003614,141763,0.004256,143249,0.005134,144350,0.006101,143226,0.004800,141527,144639
--first,--transpose,--srz,127209,0.006078,127209,0.005804,127209,0.006648,127209,0.006807,127209,0.006433,127209,0.006113,127209,0.006837,127209,0.006016,127209,0.006837,127209,0.006580,127209,0.006500,127209,127209
--first,--exchange,--random-init,122719,0.308287,128062,0.240342,125885,0.293444,123280,0.256444,123750,0.276794,126892,0.318228,126904,0.264806,122764,0.292855,124423,0.246316,125560,0.241734,125023,0.273800,122719,128062
--first,--exchange,--srz,124734,0.042176,124734,0.042537,124734,0.040232,124734,0.041757,124734,0.044658,124734,0.040575,124734,0.042848,124734,0.041884,124734,0.044464,124734,0.044677,124734,0.042700,124734,124734
--first,--insert,--random-init,129129,0.098777,131796,0.058266,128008,0.091420,129552,0.031746,128832,0.082678,132047,0.092836,142410,0.019778,133253,0.057551,130328,0.067906,129724,0.060973,131507,0.066300,128008,142410
--first,--insert,--srz,125074,0.059065,125074,0.070286,125074,0.061435,125074,0.060203,125074,0.060481,125074,0.060988,125074,0.061495,125074,0.067527,125074,0.061701,125074,0.060459,125074,0.062200,125074,125074
--best,--transpose,--random-init,139679,0.010377,140418,0.010069,137405,0.026476,144454,0.016447,141108,0.013483,144953,0.018377,141742,0.010931,140040,0.012725,141128,0.005863,140587,0.008363,141151,0.013100,137405,144953
--best,--transpose,--srz,127209,0.006652,127209,0.007360,127209,0.007498,127209,0.006587,127209,0.006395,127209,0.006380,127209,0.007407,127209,0.007559,127209,0.006222,127209,0.006576,127209,0.006800,127209,127209
--best,--exchange,--random-init,138405,0.036917,138571,0.018288,141349,0.041912,146042,0.029956,131582,0.060301,141070,0.041131,137423,0.039942,145806,0.024926,146679,0.012204,140841,0.033929,140776,0.033900,131582,146679
--best,--exchange,--srz,126776,0.020473,126776,0.018015,126776,0.018919,126776,0.018908,126776,0.019062,126776,0.018906,126776,0.017946,126776,0.018640,126776,0.019634,126776,0.018346,126776,0.018900,126776,126776
--best,--insert,--random-init,145094,0.143121,142504,0.125045,151916,0.048415,147601,0.048211,145786,0.035208,147382,0.086560,148824,0.070461,142579,0.078679,150458,0.033750,147381,0.080960,146952,0.075000,142504,151916
--best,--insert,--srz,125246,0.046145,125246,0.050434,125246,0.045710,125246,0.041032,125246,0.042756,125246,0.041674,125246,0.041413,125246,0.041590,125246,0.041684,125246,0.040187,125246,0.043300,125246,125246
