Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,439775,0.054192,437435,0.049391,433214,0.033294,445861,0.037793,444378,0.033799,448324,0.038298,441916,0.029001,445958,0.039262,469493,0.031539,439025,0.066747,444537,0.041300,433214,469493
--first,--transpose,--srz,392748,0.060909,392748,0.056139,392748,0.054681,392748,0.053418,392748,0.053562,392748,0.049732,392748,0.048253,392748,0.048406,392748,0.049377,392748,0.051074,392748,0.052500,392748,392748
--first,--exchange,--random-init,385468,6.495834,383549,5.028148,382068,5.887151,381774,8.035007,384884,6.505413,388713,5.417868,381329,6.758029,386257,6.812959,385254,6.428156,387084,4.754148,384638,6.212200,381329,388713
--first,--exchange,--srz,384169,0.843255,384169,0.844847,384169,0.898807,384169,0.911900,384169,0.897396,384169,0.829073,384169,0.825373,384169,0.879402,384169,0.861635,384169,0.924817,384169,0.871600,384169,384169
--first,--insert,--random-init,441872,0.271870,414089,1.315824,433449,0.203613,412326,1.244250,424947,0.493864,413551,0.700890,428594,0.254130,413651,0.570701,438541,0.314571,450697,0.238047,427171,0.560900,412326,450697
--first,--insert,--srz,391050,0.550781,391050,0.511106,391050,0.482185,391050,0.532535,391050,0.542581,391050,0.482499,391050,0.496440,391050,0.501762,391050,0.517660,391050,0.568401,391050,0.518600,391050,391050
--best,--transpose,--random-init,430942,0.126107,437956,0.151838,440270,0.107935,442968,0.223754,450000,0.203411,444511,0.160278,445435,0.135508,441303,0.174656,437625,0.138625,437871,0.105180,440888,0.152800,430942,450000
--best,--transpose,--srz,392748,0.084934,392748,0.078627,392748,0.074270,392748,0.074618,392748,0.077000,392748,0.092446,392748,0.100106,392748,0.111024,392748,0.080284,392748,0.099910,392748,0.087300,392748,392748
--best,--exchange,--random-init,441423,0.578635,446233,0.331338,442137,0.382930,440261,0.195054,438997,0.465505,451831,0.335334,438994,0.311643,448558,0.403255,434542,0.191059,449165,0.273706,443214,0.346900,434542,451831
--best,--exchange,--srz,391800,0.193296,391800,0.184419,391800,0.196568,391800,0.189324,391800,0.191956,391800,0.200963,391800,0.190932,391800,0.201410,391800,0.192695,391800,0.188492,391800,0.192900,391800,391800
--best,--insert,--random-init,438260,1.198380,453114,0.630940,457720,0.773022,457346,0.687574,470487,0.844139,463071,0.874973,457081,0.561928,460441,0.279009,451202,1.177267,459676,0.664955,456839,0.769200,438260,470487
--best,--insert,--srz,392484,0.240472,392484,0.237568,392484,0.238929,392484,0.254301,392484,0.242009,392484,0.245637,392484,0.241350,392484,0.238403,392484,0.236516,392484,0.232634,392484,0.240800,392484,392484
