Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,436632,0.050344,444311,0.055195,438022,0.046223,447824,0.041186,444604,0.043276,444799,0.052307,440035,0.058557,442959,0.060815,427664,0.042244,450569,0.036371,441741,0.048500,427664,450569
--first,--transpose,--srz,395598,0.052998,395598,0.058587,395598,0.054005,395598,0.055017,395598,0.057650,395598,0.057921,395598,0.057770,395598,0.056292,395598,0.056604,395598,0.058850,395598,0.056700,395598,395598
--first,--exchange,--random-init,388786,6.036595,389002,4.505430,384307,5.336049,393834,5.475059,392360,5.054281,386978,4.797902,392266,5.485906,385275,4.796796,389433,5.756305,390021,5.410954,389226,5.265500,384307,393834
--first,--exchange,--srz,387800,0.614300,387800,0.628641,387800,0.608713,387800,0.590138,387800,0.608186,387800,0.605398,387800,0.571693,387800,0.668632,387800,0.883767,387800,0.831424,387800,0.661100,387800,387800
--first,--insert,--random-init,408206,1.021695,416048,0.386056,447188,0.230598,422595,0.326516,419381,0.902508,440653,0.320012,427614,0.367333,415584,0.658631,436056,0.268159,414572,0.719662,424789,0.520300,408206,447188
--first,--insert,--srz,395813,0.524740,395813,0.534745,395813,0.495403,395813,0.481472,395813,0.476861,395813,0.479339,395813,0.519609,395813,0.501060,395813,0.537591,395813,0.482217,395813,0.503300,395813,395813
--best,--transpose,--random-init,439977,0.071420,442954,0.115499,440465,0.123127,437415,0.083016,429401,0.129497,437686,0.094690,437568,0.081075,450058,0.113264,453768,0.068261,455699,0.096269,442499,0.097400,429401,455699
--best,--transpose,--srz,395598,0.074580,395598,0.099265,395598,0.089945,395598,0.100086,395598,0.077860,395598,0.064955,395598,0.068529,395598,0.060899,395598,0.060219,395598,0.057920,395598,0.075500,395598,395598
