Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,149661,0.006481,149243,0.002438,147352,0.003004,144554,0.005383,153783,0.002948,145881,0.005282,145219,0.005417,147980,0.002770,152680,0.002375,144500,0.002402,148085,0.003600,144500,153783
--first,--transpose,--srz,133120,0.007044,133120,0.005773,133120,0.006082,133120,0.005628,133120,0.007140,133120,0.005970,133120,0.006535,133120,0.006689,133120,0.007030,133120,0.006071,133120,0.006500,133120,133120
--first,--exchange,--random-init,131948,0.247795,131885,0.180996,130014,0.248074,132191,0.184682,130943,0.326830,130881,0.196221,133120,0.162588,131287,0.192154,132963,0.261869,130458,0.251169,131569,0.225300,130014,133120
--first,--exchange,--srz,132322,0.016981,132322,0.019736,132322,0.019669,132322,0.019551,132322,0.020232,132322,0.018824,132322,0.018218,132322,0.017380,132322,0.017915,132322,0.015807,132322,0.018500,132322,132322
--first,--insert,--random-init,147458,0.036946,138479,0.051409,139150,0.090800,134695,0.069428,141868,0.063999,135478,0.099736,142240,0.054864,151512,0.025908,138328,0.061790,146919,0.037060,141612,0.059200,134695,151512
--first,--insert,--srz,131496,0.025080,131496,0.026818,131496,0.026229,131496,0.027073,131496,0.027938,131496,0.025169,131496,0.027775,131496,0.026394,131496,0.026583,131496,0.026289,131496,0.026500,131496,131496
--best,--transpose,--random-init,150071,0.008292,151346,0.008805,145736,0.009102,146887,0.011031,146771,0.006665,146488,0.007204,149655,0.013704,142047,0.014613,144996,0.007786,151930,0.005657,147592,0.009400,142047,151930
--best,--transpose,--srz,133120,0.006853,133120,0.006925,133120,0.006954,133120,0.006495,133120,0.006837,133120,0.005720,133120,0.005881,133120,0.006083,133120,0.007064,133120,0.008150,133120,0.006700,133120,133120
--best,--exchange,--random-init,148412,0.059839,144248,0.032158,145897,0.023475,145704,0.028323,154996,0.039891,151095,0.017704,144931,0.034905,145666,0.037814,141438,0.060806,147147,0.011963,146953,0.034700,141438,154996
--best,--exchange,--srz,132857,0.018222,132857,0.018187,132857,0.017665,132857,0.017925,132857,0.017246,132857,0.017372,132857,0.018623,132857,0.018600,132857,0.018239,132857,0.017828,132857,0.018000,132857,132857
--best,--insert,--random-init,151242,0.145931,148950,0.098469,154196,0.044216,151454,0.045388,153844,0.023514,153380,0.053897,151901,0.022571,152555,0.053206,150618,0.022107,148139,0.072613,151627,0.058200,148139,154196
--best,--insert,--srz,133211,0.029771,133211,0.029694,133211,0.029306,133211,0.030425,133211,0.029425,133211,0.029841,133211,0.028743,133211,0.029484,133211,0.029551,133211,0.030354,133211,0.029600,133211,133211
