Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,139223,0.003651,146476,0.005471,142593,0.013098,146042,0.004917,135722,0.005991,142740,0.002825,141053,0.003803,143085,0.003376,142772,0.005081,144457,0.007164,142416,0.005500,135722,146476
--first,--transpose,--srz,122950,0.006390,122950,0.007167,122950,0.008848,122950,0.008317,122950,0.008233,122950,0.008209,122950,0.008147,122950,0.008107,122950,0.007659,122950,0.007999,122950,0.007800,122950,122950
--first,--exchange,--random-init,124731,0.272696,127589,0.247083,124339,0.222652,121487,0.320402,123170,0.279810,122349,0.263447,123667,0.254675,121867,0.300878,126216,0.253738,123685,0.306028,123910,0.272200,121487,127589
--first,--exchange,--srz,121917,0.027761,121917,0.033597,121917,0.028067,121917,0.031742,121917,0.028645,121917,0.033000,121917,0.028594,121917,0.027679,121917,0.028460,121917,0.026921,121917,0.029600,121917,121917
--first,--insert,--random-init,129627,0.131319,138102,0.039111,132610,0.049524,138004,0.062376,128577,0.046546,148234,0.027211,144288,0.033763,129732,0.059772,128477,0.076771,138654,0.017133,135630,0.054400,128477,148234
--first,--insert,--srz,123338,0.020507,123338,0.022707,123338,0.023274,123338,0.017741,123338,0.018504,123338,0.018559,123338,0.018067,123338,0.018382,123338,0.017809,123338,0.017122,123338,0.019400,123338,123338
--best,--transpose,--random-init,145021,0.008886,141466,0.014702,147269,0.009027,137689,0.013743,143369,0.006787,135166,0.009504,141743,0.012548,138508,0.012608,145512,0.009916,143236,0.007896,141897,0.010800,135166,147269
--best,--transpose,--srz,122950,0.008736,122950,0.008229,122950,0.007802,122950,0.007280,122950,0.007833,122950,0.007467,122950,0.007543,122950,0.007343,122950,0.008731,122950,0.007592,122950,0.007900,122950,122950
--best,--exchange,--random-init,133686,0.058636,137427,0.029501,137908,0.024309,130219,0.090863,140350,0.034157,131830,0.065445,134160,0.067423,143962,0.016268,142695,0.042836,140815,0.015912,137305,0.044500,130219,143962
--best,--exchange,--srz,122613,0.018395,122613,0.019634,122613,0.020139,122613,0.018290,122613,0.019794,122613,0.020912,122613,0.020307,122613,0.020417,122613,0.021016,122613,0.020765,122613,0.019900,122613,122613
--best,--insert,--random-init,146780,0.024897,149766,0.072689,148850,0.024012,147171,0.022821,138725,0.088142,144491,0.040446,146322,0.043454,146212,0.078031,146079,0.103169,143088,0.064750,145748,0.056200,138725,149766
--best,--insert,--srz,123123,0.033417,123123,0.028637,123123,0.029013,123123,0.029597,123123,0.028951,123123,0.028824,123123,0.029413,123123,0.028371,123123,0.029165,123123,0.028343,123123,0.029300,123123,123123
