Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,143114,0.006220,144388,0.004401,141981,0.006173,147988,0.004758,146890,0.003822,149967,0.003948,142401,0.008705,143571,0.006708,148588,0.004464,143906,0.003783,145279,0.005300,141981,149967
--first,--transpose,--srz,128560,0.007573,128560,0.008072,128560,0.007463,128560,0.008294,128560,0.007355,128560,0.007324,128560,0.007668,128560,0.007013,128560,0.007093,128560,0.007320,128560,0.007400,128560,128560
--first,--exchange,--random-init,128245,0.284003,128699,0.215575,129684,0.227733,128712,0.227917,128085,0.213880,128061,0.240715,127762,0.306172,127553,0.298852,128737,0.340304,126413,0.222223,128195,0.257800,126413,129684
--first,--exchange,--srz,127200,0.031941,127200,0.033329,127200,0.031497,127200,0.032870,127200,0.033221,127200,0.031959,127200,0.033725,127200,0.032638,127200,0.033664,127200,0.034751,127200,0.033000,127200,127200
--first,--insert,--random-init,136023,0.035737,143688,0.038642,142234,0.053764,135410,0.062700,133608,0.140534,145744,0.027687,146842,0.022503,133252,0.090064,136009,0.039074,133384,0.100301,138619,0.061300,133252,146842
--first,--insert,--srz,127736,0.056131,127736,0.055096,127736,0.053492,127736,0.054434,127736,0.054959,127736,0.052692,127736,0.052878,127736,0.057109,127736,0.053012,127736,0.054042,127736,0.054300,127736,127736
--best,--transpose,--random-init,146434,0.010895,142690,0.009545,141166,0.011857,147047,0.009481,144152,0.012775,141535,0.008275,144332,0.011817,143431,0.013971,147702,0.006782,146835,0.010274,144532,0.010600,141166,147702
--best,--transpose,--srz,128466,0.007145,128466,0.008775,128466,0.007038,128466,0.006759,128466,0.007489,128466,0.007599,128466,0.006713,128466,0.006667,128466,0.007407,128466,0.007465,128466,0.007300,128466,128466
--best,--exchange,--random-init,141279,0.037158,136151,0.055524,142639,0.037717,134488,0.092618,145443,0.026658,139620,0.041912,140259,0.053540,133710,0.077887,143852,0.026660,143012,0.041669,140045,0.049400,133710,145443
--best,--exchange,--srz,127757,0.022087,127757,0.020823,127757,0.021075,127757,0.021541,127757,0.019876,127757,0.020422,127757,0.037110,127757,0.030820,127757,0.023519,127757,0.023036,127757,0.024100,127757,127757
--best,--insert,--random-init,152454,0.110984,150913,0.069266,149005,0.066717,148139,0.113318,150559,0.100788,144024,0.061091,148821,0.108891,146922,0.119943,140840,0.126213,153276,0.082496,148495,0.095900,140840,153276
--best,--insert,--srz,126952,0.187774,126952,0.155811,126952,0.133720,126952,0.127517,126952,0.130563,126952,0.131028,126952,0.125042,126952,0.132400,126952,0.130176,126952,0.129645,126952,0.138500,126952,126952
