Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,146123,0.004692,146376,0.002431,143854,0.002372,148684,0.002880,142754,0.005992,143872,0.007775,144506,0.007413,148037,0.003349,147179,0.003798,142839,0.003182,145422,0.004300,142754,148684
--first,--transpose,--srz,128654,0.008020,128654,0.007426,128654,0.005871,128654,0.005561,128654,0.005651,128654,0.005809,128654,0.007123,128654,0.007983,128654,0.011245,128654,0.007365,128654,0.007200,128654,128654
--first,--exchange,--random-init,131203,0.299240,128882,0.308936,127758,0.282201,129073,0.313065,128013,0.376019,130353,0.228981,130090,0.270085,127521,0.342997,128327,0.336275,127863,0.305184,128908,0.306200,127521,131203
--first,--exchange,--srz,128369,0.015333,128369,0.012986,128369,0.017384,128369,0.018852,128369,0.017761,128369,0.016301,128369,0.016684,128369,0.015794,128369,0.015817,128369,0.020776,128369,0.016800,128369,128369
--first,--insert,--random-init,136090,0.055055,149291,0.022578,133908,0.119738,137193,0.056667,135708,0.053912,134552,0.063295,133692,0.058878,134637,0.117570,145480,0.029221,142088,0.049668,138263,0.062800,133692,149291
--first,--insert,--srz,128654,0.022769,128654,0.023901,128654,0.023858,128654,0.024780,128654,0.023876,128654,0.027075,128654,0.027917,128654,0.028102,128654,0.024607,128654,0.021674,128654,0.025000,128654,128654
--best,--transpose,--random-init,142041,0.008496,145930,0.011822,144102,0.010708,141132,0.016244,144487,0.009984,146971,0.007061,144194,0.008244,142409,0.007117,141495,0.008084,142016,0.012132,143477,0.009900,141132,146971
--best,--transpose,--srz,128654,0.007724,128654,0.006680,128654,0.007310,128654,0.009343,128654,0.006569,128654,0.007461,128654,0.007032,128654,0.006379,128654,0.007783,128654,0.006642,128654,0.007300,128654,128654
--best,--exchange,--random-init,146453,0.039068,149021,0.013831,138890,0.072463,144704,0.013567,142436,0.013457,141605,0.030449,137135,0.083059,147638,0.026880,141918,0.050974,131884,0.118183,142168,0.046100,131884,149021
--best,--exchange,--srz,128557,0.019848,128557,0.018062,128557,0.021588,128557,0.021569,128557,0.020527,128557,0.021625,128557,0.019243,128557,0.018858,128557,0.017332,128557,0.018122,128557,0.019800,128557,128557
--best,--insert,--random-init,142537,0.061375,151552,0.022039,147912,0.066854,143158,0.089578,150750,0.070011,148710,0.099097,150576,0.023193,147030,0.023011,148941,0.067727,146312,0.057110,147747,0.058000,142537,151552
--best,--insert,--srz,128654,0.019527,128654,0.018598,128654,0.019565,128654,0.019592,128654,0.017952,128654,0.019077,128654,0.018960,128654,0.019811,128654,0.020787,128654,0.018306,128654,0.019400,128654,128654
