Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,149087,0.004453,144280,0.004822,145966,0.003228,141668,0.008336,146453,0.003939,154739,0.002462,143544,0.004499,141730,0.005530,149441,0.006162,144499,0.004687,146140,0.004700,141668,154739
--first,--transpose,--srz,131885,0.008086,131885,0.008673,131885,0.008058,131885,0.008422,131885,0.007674,131885,0.007804,131885,0.007342,131885,0.008002,131885,0.007415,131885,0.009009,131885,0.008000,131885,131885
--first,--exchange,--random-init,131133,0.366127,130047,0.243861,129688,0.153581,129387,0.261695,128355,0.315190,129134,0.246678,128849,0.185397,130771,0.356762,128741,0.355565,128951,0.321050,129505,0.280700,128355,131133
--first,--exchange,--srz,130461,0.025260,130461,0.026142,130461,0.026811,130461,0.028019,130461,0.027110,130461,0.027733,130461,0.027185,130461,0.027790,130461,0.026885,130461,0.025851,130461,0.026900,130461,130461
--first,--insert,--random-init,136464,0.103303,136235,0.026436,139021,0.063391,134364,0.111339,138811,0.029368,138072,0.052777,146159,0.035142,139634,0.059778,138621,0.086371,146627,0.029305,139400,0.059500,134364,146627
--first,--insert,--srz,133901,0.063684,133901,0.061904,133901,0.060176,133901,0.058386,133901,0.061369,133901,0.066048,133901,0.061319,133901,0.064566,133901,0.059329,133901,0.057499,133901,0.061300,133901,133901
--best,--transpose,--random-init,142495,0.009613,143540,0.018347,145263,0.012385,150792,0.007840,148151,0.008417,144112,0.006452,143777,0.012779,147291,0.009407,137276,0.010570,143054,0.009260,144575,0.010400,137276,150792
--best,--transpose,--srz,131885,0.007979,131885,0.006418,131885,0.006691,131885,0.006719,131885,0.008080,131885,0.007509,131885,0.006941,131885,0.007711,131885,0.006704,131885,0.006606,131885,0.007300,131885,131885
--best,--exchange,--random-init,144887,0.039261,141964,0.025251,144743,0.018895,152902,0.016099,147934,0.019428,145228,0.046266,144247,0.039396,141137,0.038646,148292,0.037638,146425,0.046843,145775,0.032700,141137,152902
--best,--exchange,--srz,131186,0.020138,131186,0.020454,131186,0.021290,131186,0.020427,131186,0.021789,131186,0.022707,131186,0.020937,131186,0.021480,131186,0.020397,131186,0.020504,131186,0.020900,131186,131186
--best,--insert,--random-init,156629,0.039404,154630,0.025889,156065,0.076587,152048,0.025513,150146,0.050717,148572,0.051806,149716,0.052101,147567,0.081085,152489,0.102557,149189,0.064511,151705,0.057200,147567,156629
--best,--insert,--srz,131887,0.032349,131887,0.032299,131887,0.032661,131887,0.034562,131887,0.032537,131887,0.033048,131887,0.032328,131887,0.033747,131887,0.032016,131887,0.032941,131887,0.032900,131887,131887
