Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,145949,0
Iterative_algo,1,1,2,128808,0
Iterative_algo,1,2,1,126957,1
Iterative_algo,1,2,2,127949,0
Iterative_algo,1,3,1,132534,0
Iterative_algo,1,3,2,126655,0
Iterative_algo,2,1,1,143180,0
Iterative_algo,2,1,2,128808,0
Iterative_algo,2,2,1,127040,3
Iterative_algo,2,2,2,127860,1
Iterative_algo,2,3,1,133330,1
Iterative_algo,2,3,2,128206,0
VND1,1,0,1,126095,1
VND1,1,0,2,127017,0
VND1,2,0,1,132955,1
VND1,2,0,2,128058,0
VND2,1,0,1,130434,1
VND2,1,0,2,126655,0
VND2,2,0,1,130890,1
VND2,2,0,2,127378,1
