Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,1526254,0
Iterative_algo,1,1,2,1305309,0
Iterative_algo,1,2,1,1268842,139
Iterative_algo,1,2,2,1289486,32
Iterative_algo,1,3,1,1339066,142
Iterative_algo,1,3,2,1292910,21
Iterative_algo,2,1,1,1464017,2
Iterative_algo,2,1,2,1306342,0
Iterative_algo,2,2,1,1322848,1137
Iterative_algo,2,2,2,1299616,43
Iterative_algo,2,3,1,1335308,47095
Iterative_algo,2,3,2,1298722,47
VND1,1,0,1,1277256,129
VND1,1,0,2,1294450,22
VND1,2,0,1,1310854,809
VND1,2,0,2,1300795,29
VND2,1,0,1,1287654,190
VND2,1,0,2,1294857,19
VND2,2,0,1,1322547,782
VND2,2,0,2,1294528,60
