Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,141795,0
Iterative_algo,1,1,2,122950,0
Iterative_algo,1,2,1,119898,0
Iterative_algo,1,2,2,121121,0
Iterative_algo,1,3,1,130654,1
Iterative_algo,1,3,2,119870,0
Iterative_algo,2,1,1,136745,0
Iterative_algo,2,1,2,122950,0
Iterative_algo,2,2,1,124042,2
Iterative_algo,2,2,2,120784,0
Iterative_algo,2,3,1,127151,3
Iterative_algo,2,3,2,120775,0
VND1,1,0,1,121975,1
VND1,1,0,2,121137,0
VND1,2,0,1,125251,1
VND1,2,0,2,121523,0
VND2,1,0,1,124380,0
VND2,1,0,2,120733,0
VND2,2,0,1,125251,2
VND2,2,0,2,119573,0
