Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,437945,0
Iterative_algo,1,1,2,392748,0
Iterative_algo,1,2,1,379250,7
Iterative_algo,1,2,2,381485,1
Iterative_algo,1,3,1,392868,8
Iterative_algo,1,3,2,387209,1
Iterative_algo,2,1,1,437422,0
Iterative_algo,2,1,2,392748,0
Iterative_algo,2,2,1,382830,51
Iterative_algo,2,2,2,383877,5
Iterative_algo,2,3,1,390256,37
Iterative_algo,2,3,2,387834,3
VND1,1,0,1,374944,6
VND1,1,0,2,379032,2
VND1,2,0,1,381936,29
VND1,2,0,2,382693,5
VND2,1,0,1,383157,5
VND2,1,0,2,386706,2
VND2,2,0,1,391242,22
VND2,2,0,2,387834,4
