Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,446859,0
Iterative_algo,1,1,2,395598,0
Iterative_algo,1,2,1,382781,5
Iterative_algo,1,2,2,382526,2
Iterative_algo,1,3,1,396870,6
Iterative_algo,1,3,2,387710,1
Iterative_algo,2,1,1,450108,0
Iterative_algo,2,1,2,395598,0
Iterative_algo,2,2,1,389852,72
Iterative_algo,2,2,2,385942,6
Iterative_algo,2,3,1,400857,49
Iterative_algo,2,3,2,387608,4
VND1,1,0,1,383098,7
VND1,1,0,2,381985,2
VND1,2,0,1,386488,35
VND1,2,0,2,383711,8
VND2,1,0,1,382296,9
VND2,1,0,2,387785,1
VND2,2,0,1,387031,69
VND2,2,0,2,385611,9
