Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,149424,0
Iterative_algo,1,1,2,133120,0
Iterative_algo,1,2,1,130581,1
Iterative_algo,1,2,2,132577,0
Iterative_algo,1,3,1,135935,0
Iterative_algo,1,3,2,129889,0
Iterative_algo,2,1,1,148038,0
Iterative_algo,2,1,2,133120,0
Iterative_algo,2,2,1,132281,3
Iterative_algo,2,2,2,132313,0
Iterative_algo,2,3,1,137446,3
Iterative_algo,2,3,2,132014,0
VND1,1,0,1,129445,0
VND1,1,0,2,129655,0
VND1,2,0,1,130052,3
VND1,2,0,2,131345,0
VND2,1,0,1,129963,1
VND2,1,0,2,130554,0
VND2,2,0,1,134214,1
VND2,2,0,2,131483,0
