Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,145191,0
Iterative_algo,1,1,2,131885,0
Iterative_algo,1,2,1,127714,0
Iterative_algo,1,2,2,129475,0
Iterative_algo,1,3,1,130203,1
Iterative_algo,1,3,2,128246,0
Iterative_algo,2,1,1,154388,0
Iterative_algo,2,1,2,131885,0
Iterative_algo,2,2,1,129195,2
Iterative_algo,2,2,2,130888,1
Iterative_algo,2,3,1,135748,1
Iterative_algo,2,3,2,128978,0
VND1,1,0,1,127732,1
VND1,1,0,2,129314,0
VND1,2,0,1,130308,2
VND1,2,0,2,128767,0
VND2,1,0,1,128180,0
VND2,1,0,2,128246,0
VND2,2,0,1,127842,2
VND2,2,0,2,128953,0
