Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,438078,0
Iterative_algo,1,1,2,393771,0
Iterative_algo,1,2,1,379971,8
Iterative_algo,1,2,2,386572,1
Iterative_algo,1,3,1,398461,6
Iterative_algo,1,3,2,388219,0
Iterative_algo,2,1,1,433782,1
Iterative_algo,2,1,2,393815,0
Iterative_algo,2,2,1,389495,54
Iterative_algo,2,2,2,386024,6
Iterative_algo,2,3,1,396136,38
Iterative_algo,2,3,2,388420,7
VND1,1,0,1,380596,10
VND1,1,0,2,380955,3
VND1,2,0,1,390906,29
VND1,2,0,2,385145,7
VND2,1,0,1,383250,7
VND2,1,0,2,389039,1
VND2,2,0,1,391758,31
VND2,2,0,2,386447,5
