Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,1520593,0
Iterative_algo,1,1,2,1312044,1
Iterative_algo,1,2,1,1268519,171
Iterative_algo,1,2,2,1281638,32
Iterative_algo,1,3,1,1334704,124
Iterative_algo,1,3,2,1299063,32
Iterative_algo,2,1,1,1496452,2
Iterative_algo,2,1,2,1312038,0
Iterative_algo,2,2,1,1302545,1543
Iterative_algo,2,2,2,1277841,168
Iterative_algo,2,3,1,1328658,1292
Iterative_algo,2,3,2,1297387,73
VND1,1,0,1,1263516,175
VND1,1,0,2,1269133,59
VND1,2,0,1,1278478,1057
VND1,2,0,2,1293236,68
VND2,1,0,1,1300454,179
VND2,1,0,2,1286919,35
VND2,2,0,1,1314183,489
VND2,2,0,2,1298446,65
