Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,447776,0
Iterative_algo,1,1,2,390547,0
Iterative_algo,1,2,1,383791,5
Iterative_algo,1,2,2,387656,2
Iterative_algo,1,3,1,405551,7
Iterative_algo,1,3,2,385995,1
Iterative_algo,2,1,1,444186,1
Iterative_algo,2,1,2,390284,0
Iterative_algo,2,2,1,389333,53
Iterative_algo,2,2,2,389063,2
Iterative_algo,2,3,1,404427,40
Iterative_algo,2,3,2,386715,4
VND1,1,0,1,383489,4
VND1,1,0,2,385945,3
VND1,2,0,1,393404,21
VND1,2,0,2,387457,4
VND2,1,0,1,388949,5
VND2,1,0,2,386468,2
VND2,2,0,1,397804,32
VND2,2,0,2,386737,5
