Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,455062,0
Iterative_algo,1,1,2,399544,0
Iterative_algo,1,2,1,381081,6
Iterative_algo,1,2,2,390492,1
Iterative_algo,1,3,1,396244,6
Iterative_algo,1,3,2,391009,1
Iterative_algo,2,1,1,439466,0
Iterative_algo,2,1,2,399458,0
Iterative_algo,2,2,1,388260,59
Iterative_algo,2,2,2,386219,9
Iterative_algo,2,3,1,397449,38
Iterative_algo,2,3,2,390817,6
VND1,1,0,1,384530,5
VND1,1,0,2,384470,3
VND1,2,0,1,394015,33
VND1,2,0,2,389441,7
VND2,1,0,1,385264,7
VND2,1,0,2,389214,3
VND2,2,0,1,388424,34
VND2,2,0,2,389026,7
