Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,1459678,1
Iterative_algo,1,1,2,1288715,0
Iterative_algo,1,2,1,1270780,135
Iterative_algo,1,2,2,1273248,25
Iterative_algo,1,3,1,1324027,145
Iterative_algo,1,3,2,1276303,23
Iterative_algo,2,1,1,1461611,2
Iterative_algo,2,1,2,1288715,0
Iterative_algo,2,2,1,1300153,10506
Iterative_algo,2,2,2,1282190,37
Iterative_algo,2,3,1,1332727,4295
Iterative_algo,2,3,2,1280238,38
VND1,1,0,1,1270712,120
VND1,1,0,2,1275496,20
VND1,2,0,1,1293942,827
VND1,2,0,2,1280861,34
VND2,1,0,1,1279595,211
VND2,1,0,2,1273477,22
VND2,2,0,1,1291219,712
VND2,2,0,2,1277132,52
