Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,145911,0
Iterative_algo,1,1,2,128654,0
Iterative_algo,1,2,1,126166,1
Iterative_algo,1,2,2,128365,0
Iterative_algo,1,3,1,129380,0
Iterative_algo,1,3,2,128018,0
Iterative_algo,2,1,1,139855,0
Iterative_algo,2,1,2,128654,0
Iterative_algo,2,2,1,131652,2
Iterative_algo,2,2,2,128335,0
Iterative_algo,2,3,1,132129,1
Iterative_algo,2,3,2,127916,1
VND1,1,0,1,127259,0
VND1,1,0,2,127866,0
VND1,2,0,1,128378,1
VND1,2,0,2,127975,0
VND2,1,0,1,128427,1
VND2,1,0,2,128018,0
VND2,2,0,1,128142,1
VND2,2,0,2,127916,0
