Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,142149,0
Iterative_algo,1,1,2,128466,0
Iterative_algo,1,2,1,124812,1
Iterative_algo,1,2,2,125706,0
Iterative_algo,1,3,1,131777,0
Iterative_algo,1,3,2,126043,0
Iterative_algo,2,1,1,141480,0
Iterative_algo,2,1,2,128560,0
Iterative_algo,2,2,1,127739,3
Iterative_algo,2,2,2,126695,0
Iterative_algo,2,3,1,130083,2
Iterative_algo,2,3,2,126969,0
VND1,1,0,1,125632,0
VND1,1,0,2,126171,0
VND1,2,0,1,127890,2
VND1,2,0,2,126616,1
VND2,1,0,1,128872,0
VND2,1,0,2,126594,0
VND2,2,0,1,129177,2
VND2,2,0,2,126887,0
