Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,140622,0.006621,145715,0.004980,142996,0.010027,149039,0.004023,143311,0.009300,139995,0.010034,145716,0.006866,144621,0.008041,138951,0.006588,142791,0.008018,143375,0.007500,138951,149039
--first,--transpose,--srz,128602,0.007634,128602,0.007463,128602,0.014657,128602,0.011104,128602,0.009300,128602,0.007984,128602,0.009024,128602,0.008065,128602,0.008505,128602,0.009216,128602,0.009300,128602,128602
--first,--exchange,--random-init,123278,0.449181,124568,0.335262,124741,0.228054,124581,0.354134,124626,0.348208,124191,0.391946,124719,0.325733,124229,0.390873,124317,0.381890,125905,0.305622,124515,0.351100,123278,125905
--first,--exchange,--srz,124603,0.152934,124603,0.157408,124603,0.157979,124603,0.154116,124603,0.151530,124603,0.147371,124603,0.146908,124603,0.154422,124603,0.159347,124603,0.156870,124603,0.153800,124603,124603
--first,--insert,--random-init,123564,0.824254,124725,0.883441,125878,0.715725,123948,1.045738,123024,0.759632,123279,0.867864,123817,0.917112,124132,0.732302,123846,0.649002,123839,0.838067,124005,0.823300,123024,125878
--first,--insert,--srz,123080,0.290973,123080,0.291574,123080,0.345574,123080,0.333713,123080,0.311289,123080,0.315085,123080,0.302976,123080,0.302727,123080,0.304651,123080,0.309707,123080,0.311000,123080,123080
--best,--transpose,--random-init,141457,0.009637,144942,0.009407,143502,0.012005,147383,0.012817,142809,0.016706,143347,0.016384,140723,0.016828,147649,0.015417,147136,0.018161,139671,0.016086,143861,0.014300,139671,147649
--best,--transpose,--srz,128567,0.008365,128567,0.006889,128567,0.007078,128567,0.007730,128567,0.006957,128567,0.007167,128567,0.007638,128567,0.007458,128567,0.007665,128567,0.008234,128567,0.007500,128567,128567
--best,--exchange,--random-init,124905,0.295949,128823,0.175377,126605,0.251111,131328,0.134112,129781,0.213698,128380,0.194088,125747,0.236889,126331,0.206779,127201,0.243088,126260,0.178909,127536,0.213000,124905,131328
--best,--exchange,--srz,123999,0.109352,123999,0.106449,123999,0.105203,123999,0.104918,123999,0.106451,123999,0.103590,123999,0.106078,123999,0.103699,123999,0.102278,123999,0.104335,123999,0.105100,123999,123999
--best,--insert,--random-init,124506,0.389097,126090,0.529496,125265,0.461983,125929,0.357169,125608,0.369092,125898,0.352246,125625,0.402839,126823,0.307807,125451,0.338035,125504,0.393502,125669,0.390100,124506,126823
--best,--insert,--srz,123706,0.282010,123706,0.245689,123706,0.235426,123706,0.251333,123706,0.235612,123706,0.224367,123706,0.236311,123706,0.234378,123706,0.236925,123706,0.231967,123706,0.241300,123706,123706
