Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,150027,0.004448,149380,0.004019,148820,0.005522,144638,0.004786,151088,0.008489,147616,0.007916,151451,0.006062,149809,0.008694,146245,0.005532,152251,0.007833,149132,0.006400,144638,152251
--first,--transpose,--srz,133120,0.009803,133120,0.010549,133120,0.005976,133120,0.009987,133120,0.008496,133120,0.010115,133120,0.006022,133120,0.009120,133120,0.007557,133120,0.006323,133120,0.008400,133120,133120
--first,--exchange,--random-init,131689,0.278978,130226,0.309871,128712,0.413906,130567,0.443907,130843,0.385836,129175,0.394525,129576,0.499365,129790,0.518207,129427,0.493615,129277,0.505411,129928,0.424400,128712,131689
--first,--exchange,--srz,132577,0.057345,132577,0.068400,132577,0.051236,132577,0.044067,132577,0.049876,132577,0.061339,132577,0.047209,132577,0.054569,132577,0.043818,132577,0.051663,132577,0.052900,132577,132577
--first,--insert,--random-init,130789,0.753075,132396,0.541639,131404,0.768981,129226,0.656731,133538,0.753862,128433,1.293444,130343,0.686702,131358,0.970560,132738,0.653667,129540,0.911607,130976,0.799200,128433,133538
--first,--insert,--srz,129026,0.395344,129026,0.248284,129026,0.261479,129026,0.253521,129026,0.364537,129026,0.277329,129026,0.338249,129026,0.265324,129026,0.260607,129026,0.251871,129026,0.291600,129026,129026
--best,--transpose,--random-init,145532,0.019563,143171,0.015127,149417,0.014584,150992,0.020304,150796,0.013396,145367,0.014277,147937,0.014421,146705,0.017311,142027,0.019454,146722,0.024364,146866,0.017100,142027,150992
--best,--transpose,--srz,133120,0.010607,133120,0.008903,133120,0.005825,133120,0.008835,133120,0.006465,133120,0.006558,133120,0.012604,133120,0.008307,133120,0.007726,133120,0.006021,133120,0.008300,133120,133120
--best,--exchange,--random-init,135177,0.199113,134089,0.151562,133236,0.237153,131973,0.235996,131882,0.225673,130540,0.224915,131156,0.282353,131287,0.284064,131973,0.195823,137422,0.152830,132873,0.219000,130540,137422
--best,--exchange,--srz,132441,0.051429,132441,0.062903,132441,0.056709,132441,0.049829,132441,0.060816,132441,0.083807,132441,0.073573,132441,0.068009,132441,0.062463,132441,0.053868,132441,0.062400,132441,132441
--best,--insert,--random-init,133279,0.443249,134540,0.493854,133810,0.440987,134980,0.285376,133558,0.437675,132478,0.367860,129858,0.473000,130638,0.431175,133626,0.374932,133609,0.456566,133037,0.420500,129858,134980
--best,--insert,--srz,128971,0.229340,128971,0.217497,128971,0.221586,128971,0.215216,128971,0.206070,128971,0.214885,128971,0.208824,128971,0.210694,128971,0.208568,128971,0.215237,128971,0.214800,128971,128971
