Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,145281,0.007889,140132,0.006860,140056,0.003890,142619,0.009714,145018,0.006450,140214,0.007910,139793,0.012322,136517,0.003018,140949,0.006214,145995,0.008767,141657,0.007300,136517,145995
--first,--transpose,--srz,122950,0.008487,122950,0.007676,122950,0.010661,122950,0.006341,122950,0.008682,122950,0.008607,122950,0.010237,122950,0.006230,122950,0.010165,122950,0.006609,122950,0.008400,122950,122950
--first,--exchange,--random-init,121184,0.402529,122557,0.350692,121505,0.294549,121392,0.356305,119506,0.381696,120524,0.446187,120496,0.406633,119769,0.441760,120012,0.438170,121438,0.427642,120838,0.394800,119506,122557
--first,--exchange,--srz,121121,0.142899,121121,0.136208,121121,0.136469,121121,0.131429,121121,0.128865,121121,0.137126,121121,0.140507,121121,0.155276,121121,0.139873,121121,0.141350,121121,0.138900,121121,121121
--first,--insert,--random-init,121145,0.693525,119536,0.735215,119512,0.948378,120526,0.851831,122853,0.753699,120886,0.505979,120538,0.505091,123360,0.597200,121620,0.567630,121216,0.688596,121119,0.684800,119512,123360
--first,--insert,--srz,119730,0.222328,119730,0.214101,119730,0.216441,119730,0.228233,119730,0.219454,119730,0.238228,119730,0.224325,119730,0.223439,119730,0.220685,119730,0.218359,119730,0.222300,119730,119730
--best,--transpose,--random-init,145760,0.018124,139620,0.020152,142002,0.015511,137944,0.016161,142760,0.014039,141532,0.019253,146227,0.016325,143225,0.012399,148740,0.014041,145083,0.026737,143289,0.017200,137944,148740
--best,--transpose,--srz,122950,0.010587,122950,0.007808,122950,0.010139,122950,0.010655,122950,0.009799,122950,0.007312,122950,0.009440,122950,0.007789,122950,0.009190,122950,0.008457,122950,0.009100,122950,122950
--best,--exchange,--random-init,123390,0.206954,122359,0.205194,124579,0.190617,127002,0.187295,124755,0.178130,124181,0.183812,123043,0.241757,122114,0.179061,125972,0.159541,123640,0.245538,124103,0.197900,122114,127002
--best,--exchange,--srz,121639,0.087498,121639,0.085593,121639,0.086640,121639,0.096773,121639,0.087272,121639,0.086240,121639,0.090055,121639,0.089869,121639,0.089762,121639,0.088220,121639,0.088800,121639,121639
--best,--insert,--random-init,121556,0.521506,123706,0.352150,123782,0.387928,122725,0.364634,120767,0.515761,121052,0.461237,119628,0.482704,120625,0.521513,122266,0.371295,120209,0.600044,121631,0.458000,119628,123782
--best,--insert,--srz,119677,0.139317,119677,0.147002,119677,0.135687,119677,0.144133,119677,0.156451,119677,0.150212,119677,0.138699,119677,0.138873,119677,0.139979,119677,0.134126,119677,0.142400,119677,119677
