Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,448120,0.051908,441952,0.043642,430769,0.067816,439494,0.031629,441358,0.085005,443050,0.032048,443876,0.047495,441185,0.053651,436516,0.060758,458148,0.081113,442446,0.055600,430769,458148
--first,--transpose,--srz,393771,0.043757,393771,0.043809,393771,0.042089,393771,0.041457,393771,0.042286,393771,0.044420,393771,0.041835,393771,0.042990,393771,0.042478,393771,0.041360,393771,0.042500,393771,393771
--first,--exchange,--random-init,382463,5.670590,382559,6.413934,379482,6.673674,380697,6.909296,379588,5.892152,383145,5.199442,382435,5.873569,379095,7.086139,382076,6.182635,382531,5.732799,381407,6.163500,379095,383145
--first,--exchange,--srz,386572,1.017055,386572,1.028274,386572,1.021344,386572,0.984380,386572,1.023653,386572,0.983738,386572,1.149057,386572,1.053650,386572,1.100468,386572,1.060672,386572,1.042200,386572,386572
--first,--insert,--random-init,382844,13.883372,379120,15.403251,384450,12.455192,383760,11.365736,385322,9.953723,386115,9.169384,384301,12.068105,382953,12.641811,382351,15.169681,384263,13.825911,383547,12.593600,379120,386115
--first,--insert,--srz,383126,2.296839,383126,2.346788,383126,2.311073,383126,2.324033,383126,2.439245,383126,2.305962,383126,2.305953,383126,2.295615,383126,2.344095,383126,2.468927,383126,2.343900,383126,383126
--best,--transpose,--random-init,459758,0.073809,437409,0.290267,450908,0.134603,438339,0.156505,447193,0.081122,434569,0.110157,435841,0.193446,450732,0.095285,443554,0.132954,440125,0.102384,443842,0.137000,434569,459758
--best,--transpose,--srz,393815,0.049871,393815,0.049543,393815,0.050818,393815,0.047563,393815,0.045109,393815,0.049558,393815,0.046810,393815,0.047635,393815,0.047289,393815,0.046481,393815,0.048200,393815,393815
--best,--exchange,--random-init,404912,1.915654,393792,2.668639,391719,2.666670,387755,2.769716,397339,2.450070,396469,2.468768,390961,2.623608,390018,2.299257,386829,2.758709,384110,3.956642,392390,2.658000,384110,404912
--best,--exchange,--srz,386371,1.302477,386371,1.285811,386371,1.269398,386371,1.200271,386371,1.186257,386371,1.200439,386371,1.197470,386371,1.189212,386371,1.179535,386371,1.159560,386371,1.216900,386371,386371
--best,--insert,--random-init,393217,4.688900,388898,4.942382,386164,6.013736,382429,6.266404,382812,5.870219,388159,5.341807,389687,5.827537,388567,5.273881,391271,4.076879,388479,5.706437,387968,5.400800,382429,393217
--best,--insert,--srz,384343,1.993051,384343,1.889004,384343,1.904268,384343,1.908605,384343,1.927186,384343,1.940250,384343,1.887002,384343,1.889647,384343,1.870960,384343,1.889465,384343,1.909900,384343,384343
