Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,1445492,0.389076,1470084,0.495645,1461517,0.615065,1444415,0.447218,1450290,0.485839,1477763,0.499731,1448902,0.694869,1463330,0.531011,1479412,0.464870,1462266,0.544392,1460347,0.516800,1444415,1479412
--first,--transpose,--srz,1290963,0.356760,1290963,0.358519,1290963,0.359046,1290963,0.360004,1290963,0.341027,1290963,0.330335,1290963,0.348256,1290963,0.384548,1290963,0.418883,1290963,0.365456,1290963,0.362300,1290963,1290963
--first,--exchange,--random-init,1257002,117.119833,1257952,140.778892,1247878,158.356646,1249367,126.544253,1252050,155.324439,1253060,127.840435,1256384,131.799650,1244489,132.393025,1249125,132.529664,1248593,133.788265,1251590,135.647500,1244489,1257952
--first,--exchange,--srz,1255118,50.893518,1255118,51.756929,1255118,52.722532,1255118,51.330994,1255118,51.382298,1255118,51.598822,1255118,51.564182,1255118,50.709079,1255118,60.753893,1255118,59.002371,1255118,53.171500,1255118,1255118
--first,--insert,--random-init,1273104,324.216561,1261861,302.569101,1271643,273.686810,1282351,202.114975,1276353,322.681556,1270820,276.411817,1275792,323.414263,1271672,270.863136,1269122,312.236359,1274993,259.883779,1272771,286.807900,1261861,1282351
--first,--insert,--srz,1256813,70.989183,1256813,70.224097,1256813,69.863151,1256813,74.163941,1256813,71.742276,1256813,72.575817,1256813,71.576468,1256813,73.965935,1256813,76.536458,1256813,73.306192,1256813,72.494200,1256813,1256813
--best,--transpose,--random-init,1456347,1.657987,1405383,2.243944,1454904,1.698869,1451841,1.305889,1445042,1.635526,1495941,1.290963,1465150,1.413703,1459710,2.013382,1470407,1.232855,1446316,1.636430,1455104,1.613000,1405383,1495941
--best,--transpose,--srz,1292137,0.428430,1292137,0.421849,1292137,0.434540,1292137,0.444272,1292137,0.413414,1292137,0.420962,1292137,0.414077,1292137,0.421511,1292137,0.439476,1292137,0.422648,1292137,0.426100,1292137,1292137
--best,--exchange,--random-init,1285175,50.900800,1291213,50.456288,1281869,47.951395,1301226,45.103626,1284620,44.491767,1285495,40.530043,1281430,60.514019,1283006,49.498794,1288229,63.266641,1293245,46.190524,1287550,49.890500,1281430,1301226
--best,--exchange,--srz,1269660,21.107682,1269660,22.003036,1269660,22.748822,1269660,22.328425,1269660,21.591140,1269660,21.166183,1269660,21.626831,1269660,21.992563,1269660,21.850500,1269660,21.422046,1269660,21.783700,1269660,1269660
--best,--insert,--random-init,1280925,90.186882,1291532,82.636283,1282599,88.397558,1292497,99.502179,1281073,76.901150,1283977,79.580422,1290958,76.069611,1295758,77.642709,1294525,73.410974,1291624,77.114197,1288546,82.144200,1280925,1295758
--best,--insert,--srz,1262243,33.527823,1262243,34.154916,1262243,33.603118,1262243,33.363859,1262243,34.048712,1262243,33.396916,1262243,32.999821,1262243,33.711820,1262243,33.519747,1262243,33.889502,1262243,33.621800,1262243,1262243
