Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,445724,0.042324,445384,0.047033,444907,0.052203,444708,0.052437,460263,0.039413,431425,0.039266,433387,0.058248,444201,0.055644,433608,0.052482,441028,0.055848,442463,0.049300,431425,460263
--first,--transpose,--srz,392748,0.049415,392748,0.048160,392748,0.046763,392748,0.044267,392748,0.045199,392748,0.046126,392748,0.044013,392748,0.045786,392748,0.048683,392748,0.047117,392748,0.046500,392748,392748
--first,--exchange,--random-init,374424,9.485816,377544,7.491162,375237,6.435192,378793,6.659948,379121,6.430864,376132,7.503757,376348,6.904262,376179,8.207358,378016,4.911876,377950,5.557629,376974,6.958800,374424,379121
--first,--exchange,--srz,381485,1.801717,381485,1.771876,381485,1.751797,381485,1.895634,381485,1.852763,381485,1.841671,381485,1.780883,381485,1.788344,381485,1.843208,381485,1.774939,381485,1.810400,381485,381485
--first,--insert,--random-init,380629,13.667041,381503,12.419731,379189,11.455994,380855,10.731616,382834,14.222470,381185,12.809817,379521,12.902226,377634,14.842781,381607,14.326449,381159,12.444282,380611,12.982200,377634,382834
--first,--insert,--srz,377863,4.655577,377863,4.647652,377863,4.976648,377863,4.755536,377863,4.623271,377863,4.585848,377863,4.473379,377863,4.438713,377863,4.632451,377863,4.538909,377863,4.632900,377863,377863
--best,--transpose,--random-init,441873,0.151614,449301,0.179147,443551,0.130274,444384,0.096544,450513,0.088280,440848,0.156683,419456,0.156761,448042,0.181579,431357,0.134010,448837,0.103513,441816,0.138000,419456,450513
--best,--transpose,--srz,392748,0.045895,392748,0.044932,392748,0.043617,392748,0.045595,392748,0.042588,392748,0.042887,392748,0.043145,392748,0.043416,392748,0.045944,392748,0.043719,392748,0.044300,392748,392748
--best,--exchange,--random-init,389614,2.616497,384863,3.341345,390059,2.802608,389589,3.059885,384791,3.085662,387545,2.382808,389655,2.588707,393722,2.290132,389903,2.974550,385718,3.138471,388545,2.828100,384791,393722
--best,--exchange,--srz,382446,1.806510,382446,1.756317,382446,1.819559,382446,1.758823,382446,1.747209,382446,1.778333,382446,1.824067,382446,1.802319,382446,1.812128,382446,1.791325,382446,1.789600,382446,382446
--best,--insert,--random-init,383133,5.595298,386495,5.622685,391214,5.302021,389416,4.585804,387626,5.318730,382405,4.710913,380397,8.007650,384962,5.930019,384010,6.162247,386645,4.651261,385630,5.588700,380397,391214
--best,--insert,--srz,378252,3.646829,378252,3.445574,378252,3.554874,378252,3.419260,378252,3.380484,378252,3.407116,378252,3.423075,378252,3.415756,378252,3.455490,378252,3.481751,378252,3.463000,378252,378252
