Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,142667,0.004539,143054,0.004471,144281,0.005014,145131,0.009837,149233,0.005745,143525,0.006015,143855,0.006396,142290,0.004281,147033,0.005226,138218,0.009348,143928,0.006000,138218,149233
--first,--transpose,--srz,128654,0.007795,128654,0.006000,128654,0.005891,128654,0.006686,128654,0.007931,128654,0.006765,128654,0.006328,128654,0.006176,128654,0.006943,128654,0.007647,128654,0.006900,128654,128654
--first,--exchange,--random-init,126964,0.407865,125270,0.438182,126290,0.307461,126310,0.384331,127291,0.355666,126478,0.303516,127296,0.287826,127367,0.310525,126244,0.422140,126672,0.362287,126618,0.358000,125270,127367
--first,--exchange,--srz,128365,0.041881,128365,0.042955,128365,0.042963,128365,0.043062,128365,0.045574,128365,0.044358,128365,0.044938,128365,0.043590,128365,0.043575,128365,0.043252,128365,0.043700,128365,128365
--first,--insert,--random-init,126061,0.723348,126485,0.629672,126127,0.574486,126730,0.691922,128349,0.466134,129616,0.538004,127515,0.682669,127421,0.567401,125321,0.589739,126412,0.902790,127003,0.636600,125321,129616
--first,--insert,--srz,125894,0.158147,125894,0.159261,125894,0.161941,125894,0.168328,125894,0.161050,125894,0.153837,125894,0.152326,125894,0.158800,125894,0.166428,125894,0.165254,125894,0.160400,125894,125894
--best,--transpose,--random-init,148125,0.010605,141991,0.022712,142630,0.013851,146916,0.010933,147190,0.012282,140859,0.024279,144703,0.008783,149244,0.006764,144182,0.011056,143321,0.016588,144916,0.013900,140859,149244
--best,--transpose,--srz,128654,0.005718,128654,0.006112,128654,0.006342,128654,0.008262,128654,0.006074,128654,0.006366,128654,0.006414,128654,0.010385,128654,0.007630,128654,0.006749,128654,0.006900,128654,128654
--best,--exchange,--random-init,129992,0.248307,129007,0.212863,130446,0.161339,127648,0.195896,128832,0.220984,129478,0.195823,128448,0.191925,128798,0.217648,126144,0.238651,129472,0.161740,128826,0.204600,126144,130446
--best,--exchange,--srz,128265,0.050033,128265,0.054920,128265,0.051405,128265,0.057475,128265,0.054215,128265,0.056549,128265,0.051162,128265,0.058054,128265,0.057420,128265,0.057559,128265,0.054800,128265,128265
--best,--insert,--random-init,128827,0.369280,130161,0.338389,126143,0.512136,128217,0.410773,127728,0.517806,131206,0.325589,129473,0.300410,131665,0.367054,130639,0.506035,126178,0.489560,129023,0.413700,126143,131665
--best,--insert,--srz,125791,0.194859,125791,0.198279,125791,0.195825,125791,0.186014,125791,0.187708,125791,0.180315,125791,0.181462,125791,0.187475,125791,0.183144,125791,0.189312,125791,0.188300,125791,125791
