Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,435632,0.041182,440820,0.068289,437377,0.050617,428679,0.062689,435117,0.059193,433089,0.061420,445603,0.046178,438190,0.047903,446495,0.041359,451675,0.045083,439267,0.052300,428679,451675
--first,--transpose,--srz,395598,0.047341,395598,0.046244,395598,0.045991,395598,0.047810,395598,0.044936,395598,0.045455,395598,0.045427,395598,0.045805,395598,0.046017,395598,0.047668,395598,0.046200,395598,395598
--first,--exchange,--random-init,381322,6.330907,379457,7.546435,380093,6.698122,379606,6.175265,382815,6.023416,382787,5.163880,384912,5.640754,382352,6.909271,380268,6.353149,381066,5.812837,381467,6.265300,379457,384912
--first,--exchange,--srz,382526,1.852968,382526,1.852448,382526,1.885377,382526,1.827980,382526,1.822498,382526,1.978880,382526,1.940416,382526,1.955226,382526,1.899953,382526,1.870976,382526,1.888500,382526,382526
--first,--insert,--random-init,381372,15.370458,385168,13.166671,387973,12.276332,384652,14.788134,383105,12.414568,384331,12.920048,384141,12.835166,383459,13.632513,383657,12.313661,385074,11.588823,384293,13.130700,381372,387973
--first,--insert,--srz,379592,2.893802,379592,2.795800,379592,2.807629,379592,2.793903,379592,3.065134,379592,2.878365,379592,2.761267,379592,2.769018,379592,2.768360,379592,2.867834,379592,2.840100,379592,379592
--best,--transpose,--random-init,452711,0.113422,435905,0.113406,441372,0.117757,439650,0.148798,446518,0.149246,436805,0.108970,454251,0.115501,443874,0.116156,441828,0.241253,444458,0.116129,443737,0.134000,435905,454251
--best,--transpose,--srz,395598,0.049506,395598,0.049830,395598,0.046125,395598,0.045616,395598,0.044506,395598,0.044059,395598,0.044012,395598,0.045921,395598,0.045438,395598,0.044410,395598,0.046000,395598,395598
--best,--exchange,--random-init,390190,2.771102,383330,2.544898,392311,2.185922,396469,2.150331,396569,1.921987,390369,3.145862,389370,3.375331,388566,2.358922,391717,2.100738,390698,2.948505,390958,2.550400,383330,396569
--best,--exchange,--srz,386429,0.910332,386429,0.937797,386429,0.885579,386429,0.934485,386429,0.894489,386429,0.897411,386429,0.890525,386429,0.891213,386429,0.885910,386429,0.893215,386429,0.902000,386429,386429
--best,--insert,--random-init,386007,5.471567,385860,5.192103,389849,5.777331,388642,5.025571,390480,5.183876,386733,5.321707,386754,6.313435,387569,6.981582,389799,5.808938,394109,4.417136,388580,5.549400,385860,394109
--best,--insert,--srz,381328,2.629110,381328,2.583774,381328,2.520263,381328,2.522621,381328,2.585739,381328,2.651954,381328,2.606591,381328,2.670024,381328,2.603251,381328,2.560785,381328,2.593500,381328,381328
