Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,136644,0.006704,140884,0.005391,140102,0.006813,149329,0.006192,143132,0.006398,144084,0.006759,140699,0.003727,140059,0.007123,138152,0.005367,145131,0.008432,141821,0.006200,136644,149329
--first,--transpose,--srz,127209,0.006049,127209,0.007144,127209,0.009392,127209,0.006713,127209,0.007169,127209,0.007806,127209,0.007946,127209,0.008811,127209,0.006325,127209,0.008490,127209,0.007500,127209,127209
--first,--exchange,--random-init,121867,0.475286,123133,0.522987,122793,0.367512,122908,0.382877,122599,0.365756,123255,0.270787,122601,0.342084,124155,0.308131,122372,0.474889,121186,0.442636,122686,0.395400,121186,124155
--first,--exchange,--srz,122381,0.133183,122381,0.128430,122381,0.127692,122381,0.135326,122381,0.137757,122381,0.128953,122381,0.127408,122381,0.128201,122381,0.128062,122381,0.124915,122381,0.129900,122381,122381
--first,--insert,--random-init,122475,0.852936,123459,0.613830,122356,0.950812,122637,0.426479,122666,0.576994,122027,1.002837,121995,0.656293,122355,0.649301,122247,0.765242,121130,0.760731,122334,0.725500,121130,123459
--first,--insert,--srz,123148,0.115502,123148,0.129539,123148,0.125010,123148,0.152235,123148,0.126455,123148,0.126389,123148,0.128685,123148,0.123976,123148,0.127945,123148,0.133188,123148,0.128900,123148,123148
--best,--transpose,--random-init,137209,0.026003,141581,0.016012,140425,0.024300,143082,0.009171,143716,0.010212,140939,0.013663,140591,0.018962,143350,0.020619,144991,0.007779,143531,0.010486,141941,0.015700,137209,144991
--best,--transpose,--srz,127209,0.007457,127209,0.010328,127209,0.008091,127209,0.008361,127209,0.008330,127209,0.007672,127209,0.009014,127209,0.008469,127209,0.007817,127209,0.008005,127209,0.008200,127209,127209
--best,--exchange,--random-init,124153,0.236681,125075,0.201647,124747,0.228678,123778,0.284128,125049,0.250226,124156,0.226168,126716,0.220793,124514,0.199269,124541,0.206713,125246,0.232941,124797,0.228800,123778,126716
--best,--exchange,--srz,123251,0.121212,123251,0.118653,123251,0.116447,123251,0.114816,123251,0.114810,123251,0.112129,123251,0.110878,123251,0.106839,123251,0.115009,123251,0.113835,123251,0.114500,123251,123251
--best,--insert,--random-init,121965,0.434172,123509,0.443932,122278,0.344260,126443,0.483885,124449,0.444385,123118,0.340134,123554,0.437037,122918,0.455214,125036,0.415083,122937,0.398768,123620,0.419600,121965,126443
--best,--insert,--srz,123274,0.208612,123274,0.209062,123274,0.235388,123274,0.231191,123274,0.215494,123274,0.217604,123274,0.214840,123274,0.222130,123274,0.208574,123274,0.215317,123274,0.217800,123274,123274
