Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,454015,0.042777,444967,0.045533,459486,0.045849,458047,0.047788,447546,0.058574,464442,0.041481,450542,0.030360,444583,0.041537,449390,0.048516,454442,0.038984,452746,0.044300,444583,464442
--first,--transpose,--srz,410597,0.046186,410597,0.045614,410597,0.042729,410597,0.044688,410597,0.047829,410597,0.043128,410597,0.042164,410597,0.043545,410597,0.045729,410597,0.044346,410597,0.044700,410597,410597
--first,--exchange,--random-init,395353,5.679900,397762,6.173244,393458,6.214996,394610,5.722448,394554,6.259013,396678,6.189782,394966,6.574543,395266,6.881984,395968,5.784089,396108,6.158766,395472,6.163900,393458,397762
--first,--exchange,--srz,397586,3.342130,397586,3.559916,397586,3.526598,397586,3.279644,397586,3.296921,397586,3.376315,397586,3.309216,397586,3.338768,397586,3.350634,397586,3.368103,397586,3.374900,397586,397586
--first,--insert,--random-init,400239,11.440928,400370,11.821214,398182,9.286064,396096,13.596378,399100,9.475586,398853,9.324025,400068,11.485312,398008,14.634407,397464,12.004518,398377,11.320804,398675,11.438900,396096,400370
--first,--insert,--srz,398026,2.543681,398026,2.422118,398026,2.671029,398026,2.608526,398026,2.467185,398026,2.472943,398026,2.490842,398026,2.487048,398026,2.491999,398026,2.484091,398026,2.514000,398026,398026
--best,--transpose,--random-init,455418,0.111700,452142,0.171755,465003,0.131283,442491,0.147245,437391,0.273930,454514,0.148365,451883,0.134912,451686,0.174244,449157,0.181902,457053,0.150835,451673,0.162600,437391,465003
--best,--transpose,--srz,410638,0.044165,410638,0.044766,410638,0.044686,410638,0.045980,410638,0.047340,410638,0.044373,410638,0.044252,410638,0.043780,410638,0.043929,410638,0.043801,410638,0.044700,410638,410638
--best,--exchange,--random-init,407091,2.305481,402437,2.710817,403898,2.526528,402062,2.530642,404780,3.429494,406097,2.086505,402572,2.287736,401833,2.508836,401783,2.732679,407470,2.688098,404002,2.580800,401783,407470
--best,--exchange,--srz,404430,1.509362,404430,1.443685,404430,1.408332,404430,1.468035,404430,1.443757,404430,1.436101,404430,1.396699,404430,1.409520,404430,1.428513,404430,1.404266,404430,1.434900,404430,404430
--best,--insert,--random-init,402566,3.904775,406134,4.793220,404850,4.439729,407194,4.444819,401969,5.203206,402591,6.374588,402317,5.745685,405904,5.389340,404018,3.930153,401168,5.154544,403871,4.938100,401168,407194
--best,--insert,--srz,399975,1.411322,399975,1.351617,399975,1.365942,399975,1.368871,399975,1.342125,399975,1.368839,399975,1.370439,399975,1.426031,399975,1.445480,399975,1.411880,399975,1.386200,399975,399975
