Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,446674,0.038132,440415,0.048123,448985,0.055175,448761,0.053304,435221,0.045421,434243,0.058075,454297,0.047645,448704,0.069369,440655,0.066772,454026,0.053276,445198,0.053400,434243,454297
--first,--transpose,--srz,399544,0.045290,399544,0.044255,399544,0.044381,399544,0.043779,399544,0.044126,399544,0.044188,399544,0.045510,399544,0.044399,399544,0.046772,399544,0.045779,399544,0.044800,399544,399544
--first,--exchange,--random-init,383239,5.516616,381286,7.106021,383087,5.276122,384615,5.088544,383963,5.986333,384341,5.506452,385669,5.299038,385398,4.959519,384227,6.275333,386916,4.495379,384274,5.550900,381286,386916
--first,--exchange,--srz,390492,1.405092,390492,1.411703,390492,1.405976,390492,1.491445,390492,1.489352,390492,1.477649,390492,1.470219,390492,1.419465,390492,1.430325,390492,1.516983,390492,1.451700,390492,390492
--first,--insert,--random-init,389268,12.076739,386244,10.905120,386832,13.006634,386970,11.660215,390439,10.429977,389628,13.123076,386045,11.940445,386638,12.023292,390342,10.380760,389060,10.342996,388146,11.588900,386045,390439
--first,--insert,--srz,385866,3.353883,385866,3.447029,385866,3.330054,385866,3.371799,385866,3.418698,385866,3.375775,385866,3.363444,385866,3.618577,385866,3.529361,385866,3.360515,385866,3.417000,385866,385866
--best,--transpose,--random-init,453694,0.133307,448820,0.125462,446628,0.227670,463865,0.110628,439450,0.154577,447467,0.210659,447269,0.318099,450208,0.167452,450265,0.128511,440583,0.118957,448824,0.169600,439450,463865
--best,--transpose,--srz,399458,0.051703,399458,0.051970,399458,0.050073,399458,0.050036,399458,0.050393,399458,0.049471,399458,0.051170,399458,0.050039,399458,0.049909,399458,0.077770,399458,0.053200,399458,399458
--best,--exchange,--random-init,400381,2.491676,395591,2.392598,391868,2.673737,395820,2.602203,390249,2.485957,392943,3.090291,391246,2.892628,390311,2.854115,390905,2.587974,394078,2.304285,393339,2.637600,390249,400381
--best,--exchange,--srz,392306,0.920163,392306,0.934141,392306,0.904411,392306,0.926954,392306,0.906481,392306,0.905982,392306,0.900536,392306,0.897338,392306,0.903880,392306,0.906823,392306,0.910600,392306,392306
--best,--insert,--random-init,390568,5.316053,395028,3.858495,387947,5.965520,399686,4.562015,394294,4.855008,393487,5.160915,396549,4.751786,390612,4.778350,390128,5.340731,392408,5.711154,393070,5.030000,387947,399686
--best,--insert,--srz,389282,1.899795,389282,1.807324,389282,1.803110,389282,1.778290,389282,1.769764,389282,1.769832,389282,1.772209,389282,1.747529,389282,1.773795,389282,1.765824,389282,1.788800,389282,389282
