Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,1495607,0.775110,1476800,0.612600,1451697,0.589548,1506771,0.389357,1489157,0.490113,1486862,0.489326,1488651,0.545727,1501664,0.624899,1474743,0.457060,1477272,0.728885,1484922,0.570300,1451697,1506771
--first,--transpose,--srz,1313173,0.407240,1313173,0.383671,1313173,0.394563,1313173,0.403313,1313173,0.389616,1313173,0.394766,1313173,0.383751,1313173,0.388210,1313173,0.380394,1313173,0.388539,1313173,0.391500,1313173,1313173
--first,--exchange,--random-init,1269896,179.363888,1263976,164.977724,1264976,177.950519,1266109,184.355778,1270410,171.955013,1266845,155.000461,1270145,153.318446,1271419,155.175530,1263746,154.821046,1280966,136.304090,1268848,163.322300,1263746,1280966
--first,--exchange,--srz,1274956,45.718414,1274956,46.100777,1274956,46.114091,1274956,44.552388,1274956,48.142553,1274956,46.596069,1274956,45.743072,1274956,49.494561,1274956,45.433918,1274956,46.707182,1274956,46.460300,1274956,1274956
--first,--insert,--random-init,1301243,270.019454,1281925,326.669583,1291203,259.724183,1297682,287.144663,1299951,303.341718,1286487,383.922744,1296435,261.304956,1306255,251.374933,1287866,252.254395,1289108,289.751804,1293815,288.550900,1281925,1306255
--first,--insert,--srz,1274491,64.474964,1274491,61.972690,1274491,59.292087,1274491,68.057766,1274491,62.949305,1274491,63.274350,1274491,63.772115,1274491,64.318733,1274491,64.553099,1274491,64.384449,1274491,63.704900,1274491,1274491
--best,--transpose,--random-init,1516740,1.918452,1469206,1.885634,1484350,2.326804,1459305,2.843738,1508268,1.406781,1475852,1.158357,1461331,1.516731,1488142,2.376181,1492427,1.413418,1478226,1.969972,1483384,1.881600,1459305,1516740
--best,--transpose,--srz,1313509,0.388156,1313509,0.398719,1313509,0.399559,1313509,0.370853,1313509,0.384904,1313509,0.444514,1313509,0.385698,1313509,0.439524,1313509,0.394904,1313509,0.373086,1313509,0.398200,1313509,1313509
--best,--exchange,--random-init,1314186,52.829823,1308777,48.746948,1302453,46.140870,1296291,44.386904,1315325,52.783159,1301620,43.021162,1311508,48.937472,1304114,59.992512,1326218,33.313705,1317675,41.135247,1309816,47.128800,1296291,1326218
--best,--exchange,--srz,1283765,22.613709,1283765,22.769257,1283765,23.069220,1283765,24.936162,1283765,22.755532,1283765,22.233507,1283765,23.547586,1283765,22.006185,1283765,22.611019,1283765,22.442869,1283765,22.898600,1283765,1283765
--best,--insert,--random-init,1301985,93.371201,1303044,83.048186,1311977,80.191620,1308147,87.856447,1299339,96.266931,1305777,102.459418,1299748,117.231501,1306937,79.635052,1311314,89.161136,1305645,93.967949,1305391,92.318900,1299339,1311977
--best,--insert,--srz,1279952,47.412340,1279952,46.814775,1279952,45.121185,1279952,43.628747,1279952,50.070559,1279952,45.640949,1279952,45.351119,1279952,45.102211,1279952,45.627327,1279952,43.564519,1279952,45.833400,1279952,1279952
