Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,149756,0.005970,145422,0.011041,144116,0.004660,139409,0.011501,145446,0.007334,141339,0.003539,146060,0.006217,148228,0.007279,149286,0.004430,146853,0.007007,145591,0.006900,139409,149756
--first,--transpose,--srz,127915,0.010180,127915,0.007425,127915,0.008313,127915,0.007376,127915,0.008728,127915,0.007802,127915,0.008196,127915,0.008187,127915,0.008168,127915,0.008140,127915,0.008100,127915,127915
--first,--exchange,--random-init,124597,0.435081,124998,0.252122,124490,0.360219,124532,0.425387,124261,0.417459,124602,0.391770,124246,0.450859,123380,0.520256,123825,0.376441,124591,0.350198,124352,0.397800,123380,124998
--first,--exchange,--srz,125215,0.082057,125215,0.080228,125215,0.085441,125215,0.082999,125215,0.082204,125215,0.078353,125215,0.088327,125215,0.099318,125215,0.099456,125215,0.102904,125215,0.087900,125215,125215
--first,--insert,--random-init,126380,0.711146,124924,0.635035,125402,0.650282,122616,0.955306,124427,0.887359,124223,0.651133,125929,0.718159,125199,0.637669,124421,0.833815,123558,0.963088,124707,0.764200,122616,126380
--first,--insert,--srz,124131,0.166334,124131,0.159410,124131,0.155401,124131,0.151354,124131,0.150094,124131,0.151653,124131,0.161077,124131,0.157896,124131,0.151968,124131,0.152536,124131,0.155700,124131,124131
--best,--transpose,--random-init,142541,0.010313,145685,0.016951,140637,0.018229,145073,0.023269,141039,0.021367,141638,0.012766,142350,0.012897,145441,0.015424,146964,0.017065,145003,0.018694,143637,0.016600,140637,146964
--best,--transpose,--srz,127786,0.007894,127786,0.007211,127786,0.008634,127786,0.007709,127786,0.008771,127786,0.007223,127786,0.008799,127786,0.008407,127786,0.008172,127786,0.008324,127786,0.008100,127786,127786
--best,--exchange,--random-init,127486,0.250815,126279,0.249414,127041,0.194442,125578,0.237616,127485,0.167077,126153,0.240755,127568,0.208361,126785,0.230228,128132,0.198190,127619,0.191920,127012,0.216800,125578,128132
--best,--exchange,--srz,125733,0.083844,125733,0.078111,125733,0.079814,125733,0.078905,125733,0.077960,125733,0.078568,125733,0.080079,125733,0.079538,125733,0.078021,125733,0.078624,125733,0.079500,125733,125733
--best,--insert,--random-init,127460,0.376695,128347,0.420114,125776,0.497981,126849,0.407622,126543,0.385266,124486,0.424036,126378,0.409780,125181,0.486751,125330,0.337547,127996,0.307381,126434,0.405400,124486,128347
--best,--insert,--srz,124225,0.190228,124225,0.194673,124225,0.190245,124225,0.187200,124225,0.188336,124225,0.199339,124225,0.201318,124225,0.219882,124225,0.205794,124225,0.196234,124225,0.197200,124225,124225
