Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,450089,0.051764,450346,0.050199,447297,0.045828,433542,0.043118,435802,0.049545,442417,0.054723,439416,0.111476,452696,0.049540,431935,0.047894,441636,0.056407,442517,0.056100,431935,452696
--first,--transpose,--srz,396566,0.062443,396566,0.052958,396566,0.051879,396566,0.053488,396566,0.049711,396566,0.050170,396566,0.048909,396566,0.052984,396566,0.049217,396566,0.048540,396566,0.052000,396566,396566
--first,--exchange,--random-init,384460,6.032729,383866,5.007219,385274,6.366995,384447,6.040368,386181,4.787095,384508,5.556424,383604,4.922116,384701,5.934267,385927,4.884299,387553,4.789513,385052,5.432000,383604,387553
--first,--exchange,--srz,389063,1.525348,389063,1.490301,389063,1.450439,389063,1.437770,389063,1.467046,389063,1.463582,389063,1.439931,389063,1.484891,389063,1.482781,389063,1.465763,389063,1.470800,389063,389063
--first,--insert,--random-init,386096,11.950352,387785,14.107007,386458,12.963260,386473,12.101474,389714,15.319790,388014,13.264932,385982,16.661799,384721,12.365254,390865,9.772663,389918,10.214619,387602,12.872100,384721,390865
--first,--insert,--srz,382477,5.311726,382477,5.172844,382477,5.302139,382477,5.193749,382477,5.312870,382477,5.459442,382477,5.300037,382477,5.323466,382477,5.344976,382477,5.391294,382477,5.311200,382477,382477
--best,--transpose,--random-init,459628,0.101381,435871,0.129545,449335,0.140544,438466,0.230470,445288,0.122014,446961,0.081689,435575,0.119993,442115,0.110384,443670,0.158199,443697,0.139711,444060,0.133400,435575,459628
--best,--transpose,--srz,396566,0.050187,396566,0.052929,396566,0.052051,396566,0.051560,396566,0.053002,396566,0.055539,396566,0.069350,396566,0.057982,396566,0.057241,396566,0.055299,396566,0.055500,396566,396566
--best,--exchange,--random-init,392709,2.464371,397538,2.791636,397155,2.277217,392370,2.728594,395061,2.521520,394085,2.659504,400605,2.520472,391822,2.405073,398221,2.028428,394346,2.361853,395391,2.475900,391822,400605
--best,--exchange,--srz,389172,1.050753,389172,1.125108,389172,1.060996,389172,1.177931,389172,1.112018,389172,1.121941,389172,1.120811,389172,1.125768,389172,1.072296,389172,1.080676,389172,1.104900,389172,389172
--best,--insert,--random-init,395306,5.309558,396070,4.913854,393196,4.623188,390110,5.703326,391016,6.232657,388957,5.724293,395541,4.569686,389416,5.084639,398494,4.362566,394544,4.480854,393265,5.100600,388957,398494
--best,--insert,--srz,387384,2.276847,387384,2.227051,387384,2.180004,387384,2.065543,387384,2.151406,387384,2.080005,387384,2.060627,387384,2.060029,387384,2.056056,387384,2.072739,387384,2.123100,387384,387384
