Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,141837,0.007775,140504,0.004350,141510,0.009348,143242,0.007693,142504,0.007523,147190,0.005455,141652,0.011176,145327,0.005388,139922,0.008066,147833,0.002698,143152,0.006900,139922,147833
--first,--transpose,--srz,124902,0.006619,124902,0.008885,124902,0.007924,124902,0.006756,124902,0.007322,124902,0.007591,124902,0.005648,124902,0.008193,124902,0.009780,124902,0.016913,124902,0.008700,124902,124902
--first,--exchange,--random-init,122461,0.397721,122426,0.405767,123052,0.358069,122466,0.330524,124276,0.315584,122211,0.369957,123382,0.374974,122793,0.472582,122153,0.459213,123327,0.452438,122854,0.393800,122153,124276
--first,--exchange,--srz,124777,0.022294,124777,0.021057,124777,0.023766,124777,0.021336,124777,0.025204,124777,0.022874,124777,0.022277,124777,0.018462,124777,0.022074,124777,0.023215,124777,0.022100,124777,124777
--first,--insert,--random-init,123607,0.735737,122916,0.695650,123369,0.654187,123370,0.913612,122247,0.866114,124842,0.619678,122405,0.639011,121950,0.746178,121594,0.891907,123524,0.717127,122982,0.748000,121594,124842
--first,--insert,--srz,121867,0.206199,121867,0.199931,121867,0.200297,121867,0.210850,121867,0.205363,121867,0.221732,121867,0.205502,121867,0.207737,121867,0.203384,121867,0.199528,121867,0.206100,121867,121867
--best,--transpose,--random-init,141003,0.022933,142950,0.023014,135838,0.035707,138856,0.009611,140123,0.023655,139001,0.019140,147305,0.013145,140739,0.017615,142067,0.018718,149969,0.007028,141785,0.019200,135838,149969
--best,--transpose,--srz,124897,0.008619,124897,0.007189,124897,0.007405,124897,0.007679,124897,0.007042,124897,0.009078,124897,0.007381,124897,0.008058,124897,0.007399,124897,0.008401,124897,0.007700,124897,124897
--best,--exchange,--random-init,126764,0.301171,128968,0.157525,126714,0.226640,125502,0.184686,124509,0.200347,127276,0.177130,123814,0.250755,125682,0.224684,128233,0.215019,125049,0.185963,126251,0.212500,123814,128968
--best,--exchange,--srz,124601,0.028941,124601,0.030418,124601,0.029447,124601,0.025456,124601,0.028860,124601,0.026631,124601,0.026023,124601,0.027500,124601,0.029088,124601,0.028127,124601,0.028000,124601,124601
--best,--insert,--random-init,126001,0.386447,123826,0.469967,124641,0.333515,126198,0.339310,124698,0.395488,121884,0.561977,123503,0.409111,124476,0.417539,124338,0.410567,124919,0.394381,124448,0.411800,121884,126198
--best,--insert,--srz,122456,0.217039,122456,0.186166,122456,0.218725,122456,0.186364,122456,0.179648,122456,0.190884,122456,0.195119,122456,0.176334,122456,0.174740,122456,0.185312,122456,0.191000,122456,122456
