Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,144972,0.008730,145990,0.005219,147269,0.008986,146538,0.004752,143660,0.008250,145247,0.005144,144788,0.005448,152157,0.001754,146576,0.003217,143825,0.005056,146102,0.005600,143660,152157
--first,--transpose,--srz,131885,0.005931,131885,0.006307,131885,0.006254,131885,0.006261,131885,0.006591,131885,0.006603,131885,0.006515,131885,0.006106,131885,0.006264,131885,0.007548,131885,0.006500,131885,131885
--first,--exchange,--random-init,127082,0.377322,127819,0.336836,127290,0.354363,127031,0.374768,127894,0.390395,127619,0.373660,126866,0.427521,128831,0.215868,126699,0.315402,127958,0.413406,127508,0.357900,126699,128831
--first,--exchange,--srz,129475,0.084590,129475,0.088443,129475,0.086128,129475,0.085293,129475,0.087919,129475,0.084973,129475,0.085361,129475,0.081958,129475,0.082985,129475,0.082391,129475,0.084900,129475,129475
--first,--insert,--random-init,127893,0.640299,126467,0.887951,126958,0.690547,126999,0.645281,128286,0.713845,127405,0.715007,127933,0.774398,127476,0.682430,126662,0.838472,127744,0.835924,127382,0.742300,126467,128286
--first,--insert,--srz,127750,0.108411,127750,0.117592,127750,0.116487,127750,0.114940,127750,0.108718,127750,0.112846,127750,0.111530,127750,0.110614,127750,0.114011,127750,0.114358,127750,0.113000,127750,127750
--best,--transpose,--random-init,147187,0.012783,142300,0.018429,144747,0.022270,144609,0.029589,147762,0.026712,150242,0.016395,145726,0.016343,145917,0.023609,147938,0.020710,147192,0.014144,146362,0.020100,142300,150242
--best,--transpose,--srz,131885,0.008129,131885,0.006628,131885,0.006386,131885,0.007494,131885,0.006699,131885,0.008893,131885,0.007225,131885,0.006396,131885,0.006868,131885,0.007300,131885,0.007100,131885,131885
--best,--exchange,--random-init,131512,0.203424,130771,0.235547,128969,0.179932,129903,0.200584,130417,0.149754,129325,0.197834,130697,0.198477,129923,0.215481,129548,0.170757,128867,0.303352,129993,0.205500,128867,131512
--best,--exchange,--srz,130533,0.045172,130533,0.047756,130533,0.044661,130533,0.046087,130533,0.047437,130533,0.048644,130533,0.047722,130533,0.047700,130533,0.047908,130533,0.044844,130533,0.046900,130533,130533
--best,--insert,--random-init,128002,0.479769,128756,0.368016,129245,0.345393,129071,0.298529,129061,0.302132,129698,0.342330,128068,0.360905,129333,0.376637,127752,0.564179,129144,0.337698,128813,0.377600,127752,129698
--best,--insert,--srz,128006,0.125305,128006,0.124080,128006,0.122226,128006,0.132114,128006,0.128526,128006,0.124428,128006,0.127162,128006,0.126318,128006,0.123502,128006,0.123217,128006,0.125600,128006,128006
