Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,438161,0.054808,449625,0.073068,445280,0.052796,454238,0.061366,452666,0.061193,439742,0.079831,446416,0.057358,453313,0.053744,438892,0.064934,443927,0.047569,446226,0.060700,438161,454238
--first,--transpose,--srz,397401,0.051893,397401,0.047377,397401,0.047077,397401,0.053761,397401,0.052769,397401,0.053306,397401,0.050756,397401,0.049271,397401,0.051635,397401,0.050652,397401,0.050900,397401,397401
--first,--exchange,--random-init,387096,6.282362,388219,5.843873,385512,6.492448,389163,6.717451,384095,6.536002,387794,6.752775,386338,8.263930,384631,6.993733,385884,5.836070,388859,5.493239,386759,6.521100,384095,389163
--first,--exchange,--srz,387238,1.743977,387238,1.685863,387238,1.656885,387238,1.681032,387238,1.655482,387238,1.644079,387238,1.646702,387238,1.630833,387238,1.628257,387238,1.680295,387238,1.665300,387238,387238
--first,--insert,--random-init,386775,13.037557,391858,8.479465,391994,11.115030,391692,11.148568,389935,12.693026,388624,14.747301,387488,9.312997,390241,11.351803,388867,11.303014,383733,13.746396,389120,11.693500,383733,391994
--first,--insert,--srz,385894,3.221923,385894,3.372195,385894,3.388370,385894,3.156376,385894,3.130602,385894,3.187700,385894,3.164764,385894,3.167630,385894,3.137888,385894,3.101537,385894,3.203000,385894,385894
--best,--transpose,--random-init,429687,0.124520,444680,0.223644,447237,0.115648,453835,0.189213,442375,0.140727,448009,0.197696,438591,0.184073,450717,0.087795,452909,0.135908,431658,0.252284,443969,0.165300,429687,453835
--best,--transpose,--srz,397425,0.053024,397425,0.050457,397425,0.050736,397425,0.049679,397425,0.048779,397425,0.050133,397425,0.051195,397425,0.050688,397425,0.050632,397425,0.049750,397425,0.050600,397425,397425
--best,--exchange,--random-init,395605,2.788260,396940,2.538426,390861,2.879628,398119,2.469093,393832,2.690955,393546,2.424632,395291,2.914077,393808,2.416494,394695,3.138346,398777,2.063119,395147,2.632200,390861,398777
--best,--exchange,--srz,391708,0.681446,391708,0.754607,391708,0.719413,391708,0.675744,391708,0.695327,391708,0.691473,391708,0.811273,391708,0.766164,391708,0.725156,391708,0.736448,391708,0.725500,391708,391708
--best,--insert,--random-init,396485,4.490795,390533,6.129247,393594,5.199178,392462,5.894678,391073,6.705151,390790,6.055385,389748,4.967088,392553,4.722152,395439,5.266914,388826,6.311872,392150,5.574200,388826,396485
--best,--insert,--srz,387938,2.314790,387938,2.236422,387938,2.179576,387938,2.112733,387938,2.103274,387938,2.156034,387938,2.199697,387938,2.129782,387938,2.201926,387938,2.258965,387938,2.189400,387938,387938
