Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,144430,0.004733,147175,0.007866,143508,0.006828,146898,0.003593,145989,0.005200,145478,0.004784,142231,0.006859,145025,0.007262,144261,0.007087,144715,0.009014,144971,0.006400,142231,147175
--first,--transpose,--srz,128808,0.007541,128808,0.007143,128808,0.006491,128808,0.006952,128808,0.007549,128808,0.007043,128808,0.009048,128808,0.006901,128808,0.006354,128808,0.007861,128808,0.007300,128808,128808
--first,--exchange,--random-init,127559,0.332251,127563,0.343928,127320,0.304775,126748,0.369252,126654,0.428377,127383,0.385631,127277,0.313614,126001,0.379566,126996,0.318823,125409,0.377190,126891,0.355400,125409,127563
--first,--exchange,--srz,127949,0.065889,127949,0.067108,127949,0.066834,127949,0.067601,127949,0.073291,127949,0.068768,127949,0.069802,127949,0.068955,127949,0.070520,127949,0.069542,127949,0.069000,127949,127949
--first,--insert,--random-init,126406,0.804448,125628,0.653610,126609,0.633792,129038,0.508293,127869,0.651148,125249,0.685638,126997,0.516882,125815,0.719174,126903,0.728852,127140,0.486230,126765,0.638800,125249,129038
--first,--insert,--srz,127628,0.134275,127628,0.134804,127628,0.138940,127628,0.136797,127628,0.136751,127628,0.135881,127628,0.136044,127628,0.135678,127628,0.147750,127628,0.139243,127628,0.137700,127628,127628
--best,--transpose,--random-init,138953,0.017528,143402,0.016204,142039,0.021515,142327,0.014953,143685,0.011672,146616,0.014419,144082,0.016449,144285,0.018128,145918,0.010298,143815,0.016690,143512,0.015800,138953,146616
--best,--transpose,--srz,128808,0.006505,128808,0.006281,128808,0.006646,128808,0.006245,128808,0.006693,128808,0.007795,128808,0.007964,128808,0.006353,128808,0.006400,128808,0.006719,128808,0.006800,128808,128808
--best,--exchange,--random-init,129625,0.150199,128127,0.193291,129341,0.205931,131264,0.147830,127705,0.167371,129449,0.165450,128387,0.150769,129150,0.224487,130599,0.188801,129701,0.158965,129334,0.175200,127705,131264
--best,--exchange,--srz,128097,0.045649,128097,0.045011,128097,0.043999,128097,0.046012,128097,0.042991,128097,0.043595,128097,0.045313,128097,0.044365,128097,0.046633,128097,0.042697,128097,0.044700,128097,128097
--best,--insert,--random-init,127241,0.433902,127150,0.486551,128699,0.349647,127215,0.338069,128141,0.309284,127693,0.387585,129161,0.331988,127297,0.512024,127091,0.398631,126616,0.469919,127630,0.401900,126616,129161
--best,--insert,--srz,126583,0.214680,126583,0.209347,126583,0.204255,126583,0.198785,126583,0.205226,126583,0.199613,126583,0.193884,126583,0.200811,126583,0.197056,126583,0.196643,126583,0.202100,126583,126583
