Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,455044,0.047984,449117,0.067728,434520,0.065731,450124,0.041208,443601,0.034896,427512,0.051348,449554,0.040959,444979,0.038014,436667,0.054829,458216,0.064642,444933,0.050800,427512,458216
--first,--transpose,--srz,402134,0.045012,402134,0.042928,402134,0.043174,402134,0.043449,402134,0.042959,402134,0.042570,402134,0.043352,402134,0.041465,402134,0.041726,402134,0.044322,402134,0.043000,402134,402134
--first,--exchange,--random-init,385535,5.473397,386035,4.319359,387746,5.433866,387014,5.741041,386676,5.604411,385410,6.883445,386347,5.910231,384324,6.425837,383030,6.388207,387357,5.415416,385947,5.759300,383030,387746
--first,--exchange,--srz,389065,2.341434,389065,2.317614,389065,2.243543,389065,2.240036,389065,2.270206,389065,2.358153,389065,2.392097,389065,2.354056,389065,2.370152,389065,2.311072,389065,2.319800,389065,389065
--first,--insert,--random-init,390444,10.966376,390578,8.203514,389170,9.755141,389839,10.899695,391374,12.506674,387709,13.542686,388457,12.177576,387008,10.379972,389842,9.868681,388446,10.520658,389286,10.882300,387008,391374
--first,--insert,--srz,386939,4.773328,386939,4.657869,386939,4.723106,386939,4.701464,386939,4.921951,386939,5.134838,386939,4.906797,386939,4.767015,386939,4.796876,386939,4.852370,386939,4.823500,386939,386939
--best,--transpose,--random-init,431209,0.089068,444334,0.084801,439300,0.115758,450596,0.116676,451489,0.133344,453073,0.136065,451384,0.075620,449974,0.137544,441171,0.186793,441137,0.095400,445366,0.117200,431209,453073
--best,--transpose,--srz,402134,0.050155,402134,0.062634,402134,0.062711,402134,0.055688,402134,0.052390,402134,0.053797,402134,0.053442,402134,0.055275,402134,0.055298,402134,0.053208,402134,0.055400,402134,402134
--best,--exchange,--random-init,393548,2.559539,397994,2.393179,391324,3.101348,402010,2.239012,394298,2.817378,396915,3.430355,392644,2.562945,392602,2.695685,393588,3.329135,397821,2.860152,395274,2.798800,391324,402010
--best,--exchange,--srz,395944,0.760195,395944,0.756481,395944,0.753079,395944,0.771756,395944,0.748160,395944,0.745070,395944,0.804318,395944,0.822575,395944,0.794456,395944,0.803162,395944,0.775800,395944,395944
--best,--insert,--random-init,387951,7.033956,394663,5.377802,391955,6.075018,392961,4.395508,394968,4.291777,388588,5.056667,393832,5.513090,393495,5.697022,396859,4.397421,398312,4.216883,393358,5.205600,387951,398312
--best,--insert,--srz,392908,2.639349,392908,2.589344,392908,2.754772,392908,2.728773,392908,2.602489,392908,2.632904,392908,2.587381,392908,2.585787,392908,2.579195,392908,2.578372,392908,2.627700,392908,392908
